  data : 1 9 18 23 24 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 9 18 24 30 32 , kpi : 6, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 9 19 22 24 32 , kpi : 5, rept: 1 2 3 4, cover: 22 30 32 33
  data : 1 9 19 23 24 32 , kpi : 6, rept: 1 2 4 4, cover: 22 30 32 33
  data : 1 9 19 24 27 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 9 19 24 28 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 9 19 24 29 32 , kpi : 5, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 9 19 24 30 32 , kpi : 6, rept: 1 2 3 4, cover: 22 30 32 33
  data : 1 9 19 24 31 32 , kpi : 5, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 9 22 23 24 32 , kpi : 5, rept: 1 2 3 4, cover: 22 30 32 33
  data : 1 9 22 24 27 32 , kpi : 6, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 9 22 24 28 32 , kpi : 6, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 9 22 24 29 32 , kpi : 5, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 9 22 24 30 32 , kpi : 6, rept: 1 2 2 4, cover: 22 30 32 33
  data : 1 9 22 24 31 32 , kpi : 5, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 10 12 20 24 30 , kpi : 5, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 10 12 21 24 30 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 10 13 20 24 30 , kpi : 6, rept: 1 2 2 5, cover: 23 30 32 33
  data : 1 10 13 21 24 30 , kpi : 6, rept: 1 2 2 4, cover: 23 30 32 33
  data : 1 10 14 20 24 30 , kpi : 5, rept: 1 2 3 6, cover: 23 30 32 33
  data : 1 10 14 21 24 30 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 10 19 20 24 32 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 10 19 21 24 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 10 20 23 24 32 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 10 21 22 24 32 , kpi : 5, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 10 21 23 24 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 10 21 24 30 32 , kpi : 5, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 11 19 22 24 29 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 11 19 22 24 31 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 11 19 23 24 29 , kpi : 5, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 11 19 23 24 31 , kpi : 5, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 11 19 24 29 30 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 11 19 24 30 31 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 11 22 23 24 28 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 11 22 23 24 29 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 11 22 23 24 30 , kpi : 6, rept: 1 2 3 5, cover: 22 30 32 33
  data : 1 11 22 23 24 31 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 11 22 24 30 31 , kpi : 6, rept: 1 2 2 4, cover: 23 30 32 33
  data : 1 11 23 24 27 30 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 11 23 24 28 30 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 11 23 24 29 30 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 12 18 20 24 30 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 12 19 21 24 29 , kpi : 6, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 12 19 21 24 31 , kpi : 6, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 12 20 22 24 28 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 12 20 22 24 30 , kpi : 5, rept: 1 2 3 6, cover: 22 30 32 33
  data : 1 12 20 22 24 31 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 12 20 24 28 30 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 12 20 24 30 31 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 12 21 22 24 28 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 12 21 22 24 29 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 12 21 22 24 30 , kpi : 6, rept: 1 2 3 5, cover: 22 30 32 33
  data : 1 12 21 22 24 31 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 12 21 23 24 31 , kpi : 6, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 12 21 24 30 31 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 13 19 21 24 29 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
